UNITID,CONTROL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,PFTFTUG1_EF,RET_FT4,RET_PT4,C200_4_POOLED,PCTFLOAN
100937,2,1230,1205,0.7867,0.1386,0.0266,0.0216,0.0025,0,0.0091,0.0149,0,18238,18238,10449,11077,6294,0.6839,0.2357,0.691,0.8535,0.7988,NULL,0.6791,0.4666
101435,2,1076,1007,0.6832,0.1897,0.0497,0.007,0.007,0,0.0427,0,0.0209,27400,27400,12259,6551,6678,0.464,0.445,0.4942,0.8,0.6169,NULL,0.3879,0.7225
106342,2,1165,650,0.5462,0.0938,0.0631,0.0462,0.0277,0,0,0.0138,0.2092,29140,29140,9987,13087,6577,1,0.4137,0.538,0.7489,0.6791,NULL,0.4504,0.6122
107080,2,1324,1104,0.6078,0.0697,0.0661,0.0317,0,0,0.0335,0.0172,0.1739,47600,47600,11188,14011,7474,1,0.2978,0.7074,0.966,0.8867,NULL,0.7255,0.4825
111966,2,889,183,0.0437,0.388,0.3169,0.1093,0,0,0.0601,0.0219,0.0601,13972,13972,32813,27401,8456,0.2727,0.5276,0.75,0.1774,0.7037,NULL,0.5,0.681
137962,2,939,211,0.4502,0.2275,0.1848,0.0237,0.0095,0,0,0.0142,0.09,16300,16300,10828,5250,4222,0.6071,0.5756,0.087,0.4583,0.5484,NULL,0.3571,0.6878
139144,2,1245,1918,0.7805,0.0709,0.0678,0.0219,0.0036,0,0.0396,0.0104,0.0052,37246,37246,14855,15076,8463,0.7907,0.2402,0.6945,0.9428,0.833,NULL,0.6487,0.501
140234,2,1079,865,0.711,0.2185,0.0208,0.0116,0.0058,0,0.022,0.0081,0.0023,31540,31540,15347,12095,6607,1,0.4299,0.4082,0.7911,0.6967,NULL,0.4375,0.7491
140696,2,1206,1350,0.4385,0.2415,0.1259,0.0452,0.0081,0,0.0074,0.0911,0.0422,39580,39580,13122,5869,6811,1,0.3861,0.4821,0.8639,0.797,NULL,0.4737,0.7563
141060,2,1167,2118,0.0014,0.974,0,0.0005,0.0142,0,0.0024,0.0076,0,29972,29972,18822,14699,8685,0.6778,0.4556,0.7509,0.9231,0.8827,NULL,0.7681,0.7577
142090,2,1053,94,0.8298,0.0319,0.0426,0.0426,0.0106,0,0,0.0319,0.0106,12920,12920,12647,12433,4623,0.875,0.5273,0.4894,0.5556,0.7,NULL,0.4545,0.3727
146825,2,1023,588,0.7075,0.1071,0.0578,0.0051,0.0085,0,0.0289,0.0017,0.0833,28540,28540,11369,9662,5965,0.625,0.5009,0.4667,0.5817,0.7218,NULL,0.3488,0.8324
147129,2,1017,675,0.7911,0.12,0.0267,0.0267,0.0074,0,0.0207,0,0.0074,17560,17560,21044,11248,6852,0.5119,0.5167,0.2857,0.061,0.5,NULL,0.44,0.869
147341,2,1099,900,0.6733,0.0922,0.1011,0.0089,0.0022,0,0.0289,0.0344,0.0589,38990,38990,12028,15889,6812,0.7838,0.3665,0.6179,0.8819,0.7942,NULL,0.5793,0.7177
148405,2,1069,943,0.5483,0.1029,0.1909,0.0276,0.0032,0,0.0329,0.087,0.0074,32100,32100,14938,6139,5726,0.3541,0.4708,0.4112,0.632,0.6582,NULL,0.457,0.7042
149639,2,1034,74,0.4865,0.1081,0.2973,0.027,0,0,0.0676,0.0135,0,29070,29070,19710,6349,5077,0.2553,0.2818,0.6667,0.7826,0.9231,NULL,0.6727,0.5909
150048,2,951,344,0.6076,0.2384,0.1076,0.0029,0,0,0.0349,0.0087,0,18600,18600,14374,6642,4615,0.5128,0.5181,NULL,0.6244,NULL,NULL,NULL,0.6867
150400,2,1253,1944,0.6389,0.0571,0.0952,0.0345,0.0015,0,0.0273,0.1353,0.0103,51146,51146,18154,20827,9375,0.8817,0.1967,0.8424,0.9792,0.8582,NULL,0.8356,0.4114
150455,2,1246,919,0.5092,0.074,0.0783,0.0348,0,0,0.0511,0.2307,0.0218,47380,47380,10598,25592,6438,0.9091,0.2702,0.6403,0.9503,0.797,NULL,0.7041,0.4803
150604,2,1082,891,0.8721,0.0348,0.0393,0.0079,0.0034,0,0.0303,0.0045,0.0079,32970,32970,13314,9915,6659,0.7544,0.3721,0.6544,0.9375,0.7361,NULL,0.643,0.7233
152497,2,910,143,0.8601,0.021,0.0699,0,0.014,0,0.035,0,0,19948,19948,5457,14085,NULL,NULL,0.4127,NULL,1,NULL,NULL,NULL,0.7698
152567,2,1170,2120,0.8042,0.0425,0.05,0.017,0.0024,0,0.0316,0.0396,0.0127,32810,32810,13331,7657,7426,0.4444,0.1487,0.6334,0.8918,0.7551,NULL,0.5564,0.3542
152673,2,1232,866,0.7564,0.045,0.0947,0.0092,0,0,0.0335,0.0462,0.015,44720,44720,14477,17559,8663,0.932,0.2902,0.7386,0.9745,0.9051,NULL,0.749,0.6746
