householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t29,pctWWage,pctWSocSec,pctWPubAsst,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,MalePctNevMarr,TotalPctDiv,PctKidsBornNeverMar,PctImmigRec5,PctPersDenseHous,MedRentPctHousInc,PctSameCity85,PopDens,ViolentCrimesPerPop,nonViolPerPop
2.57,0.18,98.48,0.84,1.66,24.9,77.02,35.9,5.43,16201,16258,2995,19200,15171,7897,13728,4.33,27.73,4.13,31.89,8.98,1.12,21.36,1.7,26.7,88.42,4109.8,132.87,1992.98
2.4,6.5,91.93,1.13,1.17,27.58,79.77,27.82,6,15138,15441,11999,0,4680,7098,6760,5.36,25.93,3.76,33.99,11.62,2.77,8.91,1.39,25.6,76.06,4062.2,216.85,3080.55
2.92,1.41,96.01,1.76,3.61,27.3,89.65,15.44,3.02,17642,17793,13444,0,13195,17713,13991,3.24,13.67,4.55,28.4,7.26,1.2,11.08,1.48,28.7,69.42,1377.3,130.22,1674.21
2.59,1.58,90.57,7,5.08,23.23,81.68,31.65,2.3,19643,20014,18506,0,15727,14416,14801,2.2,18.46,5.73,30.09,6.99,0.84,13.98,1.77,23.2,89.03,6673.6,155.14,1725.21
2.38,0.42,99.19,0.24,0.52,23.42,66.11,44.02,6.67,10246,10271,3000,0,0,0,5227,10.64,33.09,9.13,26.73,11.83,1.92,14.67,1.02,24.8,88.99,3421.4,82.95,1539.17
2.52,1.57,75.06,20.02,11.5,26.17,80.41,25.25,2.82,17995,18694,12721,0,16528,12247,12849,7.7,22.03,5.45,33.01,8.11,0.92,42.21,6.77,27.5,71.13,11613.9,111.83,1888.03
2.61,0.83,93.71,3.41,8.63,23.94,76.13,37.23,3.01,17910,18069,15513,0,16410,14309,12374,3.11,32.3,5.05,28.92,7.63,0.75,17.83,2.16,23.3,84.7,6408.4,122.88,4552.31
2.39,0.29,98.87,0.62,0.61,22.81,71.56,35.91,3.49,16211,16319,11116,18428,10109,5935,12524,4.23,23.81,4.85,23.53,8.25,1.24,37.16,0.53,25.3,87.42,3726.5,139.73,2885.09
2.57,0.34,99.27,0.31,0.53,24.77,69.42,42.92,5.73,13083,13118,7940,0,2000,0,12231,10.84,25.96,4.21,31.45,6.89,0.78,9.54,0.7,20.8,92.44,1700.3,148.02,2354.84
2.92,0.79,97.02,0.72,5,28.57,78.91,27.21,7.13,12279,12284,7388,15500,8533,17938,10923,9.38,36.55,11.03,33.65,10.97,4.38,6.44,4.88,29.7,78.44,9947,635.43,1914.77
2.82,0.86,84.65,13.92,3.5,20.7,80.37,30.14,3.1,36455,38137,16588,16380,29942,9524,17718,3.29,8.76,2.69,26.84,5.78,0.42,28.84,1.93,28,82.55,2789.5,44.92,1849.22
2.34,0.13,99.38,0.3,0.6,24.26,70.55,35.45,3.42,13290,13309,22406,20332,6784,10000,10572,5.74,18.96,4.62,28.3,9.7,0.38,6.37,0.54,27,94.07,7221.1,237.1,1602.81
2.76,1.68,95.17,2.25,3.29,24.73,83.45,28.09,3.45,18834,18919,17559,0,19362,10385,13820,2.89,21.56,3.79,29.18,7.85,1.12,9.99,1.16,24.1,81.89,3599.6,141.44,2590.64
2.48,0.22,97.96,1.01,1.71,27.59,80.84,29.2,4.71,14692,14848,10400,11825,7780,6687,10607,5.78,29.71,2.28,24.92,10.17,2.21,13.45,1.35,23.3,86.79,3253.5,125.67,2599.75
2.68,0.54,97.23,1.53,2.98,24.41,85.27,26.59,3.66,19283,19343,12226,0,26863,13500,16454,2.07,20.26,3.61,27.89,8.65,0.86,13.88,0.94,29.2,85.94,3428,54.25,2242.31
