Sat1,Sat2,Sat3,Sat4,CustSatMean,Custloyalty,INvestMore,SexOfSalesperson
1,1,1,3,1.5,4,3,1
2,3,3,3,2.75,2,1,1
3,5,4,5,4.25,2,3,1
3,4,4,3,3.5,3,3,1
 , , , , ,5,3,1
3,3,3,3,3,3,3,1
4,4,4,5,4.25,4,2,1
1,2,1,1,1.25,1,1,2
4,5, ,5,4.66666666666667,3,3,2
3,4,3,3,3.25,3, ,2
4,4,4,4,4,4,2,2
3,4,3,3,3.25,4,3,2
4,4,3,4,3.75,4,3,2
5,5,4,5,4.75,4,3,2
3,4,5,4,4,1,3,2
3,4,3,4,3.5,4,2,2
4,4,4,4,4,4, ,2
4,4,4,4,4,4,4,2
2,4,3,2,2.75,2,1,2
3,3,3,3,3, , ,2
3,4,4,5,4,4, ,2
5,5,5,5,5,5,3,2
2,2,2,2,2,4,3,2
1,1,1,1,1,1,1,2
3,4,4,4,3.75,5,3,2
4,3,4,4,3.75,4,5,2
4,4,4,3,3.75,5,4,2
4,5,4,5,4.5,3,2,2
4,4,3, ,3.66666666666667, , ,2
3,3,3, ,3, , ,2
3,4,3, ,3.33333333333333, , ,2
1,3,1,2,1.75,2,1,2
2,4,2,3,2.75,3,3,2
2, ,4,4,3.33333333333333,2,2,2
5,5,5,5,5,3,3,2
3,4,3,4,3.5,5,3,2
2,4,2,3,2.75,2,2,2
3,4,3,4,3.5,3,3,2
5,5,5,5,5,5, ,2
3,4,4,4,3.75,4,3,2
2,4,2,4,3,2,1,2
 , , , , ,1, ,2
1,4,1, ,2, , ,2
3,3,4,4,3.5,4,3,2
3,3,3,3,3,3, ,2
5,5,4,4,4.5,4, ,2
3,4,3,3,3.25,3,3,2
2,3,2,2,2.25,3,3,2
 , ,3, ,3,4, ,2
3, , , ,3,4, ,2
3,3,3,3,3,4,3,2
1,1,2,3,1.75,2,1,2
3,3,3,3,3,4,3,2
3,3, ,4,3.33333333333333,4,4,2
4,4,4,5,4.25,4,3,2
5,5,5,5,5,4,2,2
4,4,4,4,4,5,3,2
5,5,5, ,5,5, ,1
3,4,5, ,4,5, ,1
4,5,5,5,4.75,4,4,1
1,3, , ,2,4, ,1
1,3, , ,2,2, ,1
2,3,3,2,2.5,4,4,2
2,3,2,2,2.25,3,1,2
2,1,1,2,1.5,4,4,2
4,4,4,4,4,5,4,2
4,3,4,3,3.5,4,3,2
5,5,5,4,4.75,2,4,2
3,3,3,4,3.25,5,3,1
4,3,4,4,3.75,5,3,1
4,4,4,4,4,4,3,1
3,4,4,3,3.5,3,3,2
 , , , , , , ,2
 ,4,3,3,3.33333333333333,3, ,2
5,5,5,3,4.5,5,3,2
4,4,4,4,4,4,3,2
2,2,1, ,1.66666666666667,3, ,2
1,2,2, ,1.66666666666667,2, ,2
5,5,5,5,5,5,3,2
4,4,4, ,4, , ,1
5,5,5, ,5,5,3,2
3,4,5,4,4,5,3,2
4,4,3,4,3.75,3,3,1
4,4,4,3,3.75,4,2,1
3,4,4,3,3.5,5,3,1
5,5,5,5,5,4,3,1
3,2,3,1,2.25,1,4,2
4,5,4,5,4.5,5,3,2
 ,3,4,3,3.33333333333333,5,3,2
3,2,2,3,2.5,5,3,2
4,4,5,5,4.5,4,3,2
3,2,2,3,2.5,5,3,2
2,3,2,2,2.25,3,3,2
5,5,5,5,5,4,4,2
2,4,4,4,3.5,3,3,2
2,1,2,3,2,2,1,2
2,4,4,3,3.25,4,3,1
3,4,5,3,3.75,5,3,1
 ,3, ,3,3,2,3,1
4,5,5,4,4.5,5,5,1
2,2,2,1,1.75,3,1,1
4,5,4,5,4.5,4,2,2
3,3,3, ,3, , ,1
4,4,2,4,3.5,4,3,1
3,4,3,3,3.25,4,3,1
4,4,4,3,3.75,3,1,1
5,5,5,5,5,4,3,1
4,4,5,4,4.25,4,4,1
4,4,4,4,4,4,3,1
3,3,3,4,3.25,3,3,1
2,3,1,3,2.25,1,1,1
1,2,1,3,1.75,1,1,1
1,2,1,4,2,1,1,1
3,4,2,2,2.75,3,3,2
4,4,4,3,3.75,4,3,2
4,4,4,4,4,4,3,2
4,5,4,4,4.25,3,3,2
3,4,3,3,3.25,4,2,2
4,5,5,5,4.75,4,4,2
1,1,1,3,1.5,1,1,2
4,4,4,5,4.25,3,5,1
4,4,4,4,4,4,3,1
4,5,3,5,4.25,4,3,1
5,5,5,5,5, , ,1
4,4,3,4,3.75,3,2,1
5,5,5, ,5, , ,1
3,4,4,4,3.75,4,3,1
3,4,5,5,4.25, ,2,2
3,2,3,4,3,2,3,2
4,4,4,3,3.75,1,1,2
2,4,3,3,3,2,2,2
