WEB STD FIRMID,Survey Year,Screening Region,Industrial sector,Sector Match,Biz Size,Screener Size,Part of Large Firm,Type of Establishment,Ownership Structure,Share Largest Owner,Share Private Dom. Individ,Share Private Forgn Indvid,Share Govt,Share Others,Female member ownership,Female Member Share,Year established,Formally Registered Biz,Year Registered,Mgrs Working Expr,Female Top Mgr,Top Mgr Educ Levl,Top Mangerial Ownership,International Certification,Main Products,First Product ISIC code,Percent of sales of First Product,Percentage of Domestic Input,Percentage of Foreign Inputs,Foreign Technology Used,Product Improvement,Method Improvement,Any new service,Process Improvement,New Organizational structure,New Marketing Method,R&D expendture,Employee New Idea,Capacity Utilization,Sales,sales and service,Output,eqpt expd,Overdraft,Govt Financing,Line of Credit from Bank,Age of Firm,AgeCat Firm,Mgr wkg exp Cat,Geopolitical Zone
589658,2014,Ogun,Food,"Yes, scr",Medium >,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,1992,DON?T KN,DON?T KN,25,No,NA,No,No,bread,1541,100,70,30,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,100,,,100,0,No,,DON?T KN,31,30 - 49 Years,20 - 29 Years,SW
589633,2014,Ogun,Garments,"Yes, scr",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2004,No,2000,16,No,Secondary,No,No,native,1810,60,60,40,Yes,Yes,Yes,Yes,No,No,No,No,Yes,50,,,50,DON?T KN,,,No,19,< 10 Years,10 - 20 Years,SW
589650,2014,Ogun,Food,"Yes, scr",Medium >,Medium >,Yes,Establis,Sole Proprietorship,,100,0,0,0,No,,2002,Yes,1992,31,No,No Education,No,No,bread,1541,80,70,30,Yes,No,No,Yes,No,Yes,Yes,No,No,100,,,100,0,No,,No,21,< 10 Years,30 - 49 Years,SW
589655,2014,Ogun,Food,"Yes, scr",Medium >,Small >=,No,DOES NOT,Sole Proprietorship,,100,0,0,0,No,,2004,Yes,1994,26,No,Secondary,No,No,unslice. bread,1541,70,85,15,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,100,,,100,,No,,No,19,< 10 Years,20 - 29 Years,SW
588883,2014,Abia,Wood,"Yes, scr",Small >=,Micro <5,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1994,No,1995,22,No,Secondary,Yes ? fu,No,wood and furnitures,2029,100,100,0,No,No,No,No,No,No,No,No,No,100,,,0,0,No,,No,29,< 10 Years,20 - 29 Years,SE
588884,2014,Abia,'Furniture',"Yes, scr",Small >=,Micro <5,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2002,No,2002,12,No,Secondary,Yes ? fu,No,manufacturing OF Furniture,3610,60,100,0,No,No,No,No,No,No,No,No,No,100,,,0,0,No,,No,21,< 10 Years,10 - 20 Years,SE
588885,2014,Abia,Publishings,"No, does",Small >=,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2002,Yes,2002,12,No,Secondary,Yes ? fu,No,printing,2221,60,,,,No,No,No,No,No,No,No,No,,20,5,,0,DON?T KN,No,No,21,< 10 Years,10 - 20 Years,SE
588886,2014,Abia,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,Yes,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,1995,Yes,1995,19,No,Secondary,Yes ? fu,No,Manufacturing of blocks,2695,100,100,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,DON?T KN,,,DON?T KN,0,No,,No,28,< 10 Years,10 - 20 Years,SE
588887,2014,Abia,Metal Fabrications,"No, scre",Micro <5,Small >=,No,DOES NOT,Sole Proprietorship,100,100,0,0,0,No,,2000,No,2012,17,No,Secondary,Yes ? fu,No,"manufacturing of window protectors,doors,overhead tanks",2812,100,DON?T KN,DON?T KN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DON?T KN,,,DON?T KN,100,DON?T KN,,No,23,< 10 Years,10 - 20 Years,SE
588888,2014,Abia,Non Metal Fabrications,"Yes, scr",Small >=,Small >=,No,Establis,Sole Proprietorship,100,100,0,0,0,No,,1974,No,1976,40,No,Graduate,Yes ? fu,No,"Cement, Sand and Water",2694,100,DON?T KN,DON?T KN,No,No,No,No,No,No,No,No,No,DON?T KN,,,DON?T KN,0,DON?T KN,,No,49,30 - 49 Years,30 - 49 Years,SE
