Date,realgdp,realcons,realinv
3/31/1959,2710.349,1707.4,286.898
6/30/1959,2778.801,1733.7,310.859
9/30/1959,2775.488,1751.8,289.226
12/31/1959,2785.204,1753.7,299.356
3/31/1960,2847.699,1770.5,331.722
6/30/1960,2834.39,1792.9,298.152
9/30/1960,2839.022,1785.8,296.375
12/31/1960,2802.616,1788.2,259.764
3/31/1961,2819.264,1787.7,266.405
6/30/1961,2872.005,1814.3,286.246
9/30/1961,2918.419,1823.1,310.227
12/31/1961,2977.83,1859.6,315.463
3/31/1962,3031.241,1879.4,334.271
6/30/1962,3064.709,1902.5,331.039
9/30/1962,3093.047,1917.9,336.962
12/31/1962,3100.563,1945.1,325.65
3/31/1963,3141.087,1958.2,343.721
6/30/1963,3180.447,1976.9,348.73
9/30/1963,3240.332,2003.8,360.102
12/31/1963,3264.967,2020.6,364.534
3/31/1964,3338.246,2060.5,379.523
6/30/1964,3376.587,2096.7,377.778
9/30/1964,3422.469,2135.2,386.754
12/31/1964,3431.957,2141.2,389.91
3/31/1965,3516.251,2188.8,429.145
6/30/1965,3563.96,2213,429.119
9/30/1965,3636.285,2251,444.444
12/31/1965,3724.014,2314.3,446.493
3/31/1966,3815.423,2348.5,484.244
6/30/1966,3828.124,2354.5,475.408
9/30/1966,3853.301,2381.5,470.697
12/31/1966,3884.52,2391.4,472.957
3/31/1967,3918.74,2405.3,460.007
6/30/1967,3919.556,2438.1,440.393
9/30/1967,3950.826,2450.6,453.033
12/31/1967,3980.97,2465.7,462.834
3/31/1968,4063.013,2524.6,472.907
6/30/1968,4131.998,2563.3,492.026
9/30/1968,4160.267,2611.5,476.053
12/31/1968,4178.293,2623.5,480.998
3/31/1969,4244.1,2652.9,512.686
6/30/1969,4256.46,2669.8,508.601
9/30/1969,4283.378,2682.7,520.36
12/31/1969,4263.261,2704.1,492.334
3/31/1970,4256.573,2720.7,476.925
6/30/1970,4264.289,2733.2,478.419
9/30/1970,4302.259,2757.1,486.594
12/31/1970,4256.637,2749.6,458.406
3/31/1971,4374.016,2802.2,517.935
6/30/1971,4398.829,2827.9,533.986
9/30/1971,4433.943,2850.4,541.01
12/31/1971,4446.264,2897.8,524.085
3/31/1972,4525.769,2936.5,561.147
6/30/1972,4633.101,2992.6,595.495
9/30/1972,4677.503,3038.8,603.97
12/31/1972,4754.546,3110.1,607.104
3/31/1973,4876.166,3167,645.654
6/30/1973,4932.571,3165.4,675.837
9/30/1973,4906.252,3176.7,649.412
12/31/1973,4953.05,3167.4,674.253
3/31/1974,4909.617,3139.7,631.23
6/30/1974,4922.188,3150.6,628.102
9/30/1974,4873.52,3163.6,592.672
12/31/1974,4854.34,3117.3,598.306
3/31/1975,4795.295,3143.4,493.212
6/30/1975,4831.942,3195.8,476.085
9/30/1975,4913.328,3241.4,516.402
12/31/1975,4977.511,3275.7,530.596
3/31/1976,5090.663,3341.2,585.541
6/30/1976,5128.947,3371.8,610.513
9/30/1976,5154.072,3407.5,611.646
12/31/1976,5191.499,3451.8,615.898
3/31/1977,5251.762,3491.3,646.198
6/30/1977,5356.131,3510.6,696.141
9/30/1977,5451.921,3544.1,734.078
12/31/1977,5450.793,3597.5,713.356
3/31/1978,5469.405,3618.5,727.504
6/30/1978,5684.569,3695.9,777.454
9/30/1978,5740.3,3711.4,801.452
12/31/1978,5816.222,3741.3,819.689
3/31/1979,5825.949,3760.2,819.556
6/30/1979,5831.418,3758,817.66
9/30/1979,5873.335,3794.9,801.742
12/31/1979,5889.495,3805,786.817
